kd_kuliah,th_kur,nama_kuliah,sks,no_kelas,tahun,semester,no_ps_penyelenggara,nama_ps_penyelenggara,sifat
BI2001-2013,2013,Pengetahuan Lingkungan,2,07,2013,1,106,Biologi,W
BI2001-2013,2013,Pengetahuan Lingkungan,2,10,2013,1,106,Biologi,P
DK4117-2013,2013,Komik,3,01,2013,1,174,Desain Komunikasi Visual,P
EL1200-2013,2013,Pengantar Analisis Rangkaian,2,01,2013,1,132,Teknik Elektro,W
EL2142-2013,2013,Sistem Digital & Mikroprosesor,4,01,2013,1,132,Teknik Elektro,W
EL3011-2013,2013,Arsitektur Sistem Komputer,3,01,2013,1,132,Teknik Elektro,P
ET4040-2013,2013,"Ekonomi, Bisnis, Regulasi dan Kebijakan Telekomunikasi",3,01,2013,1,181,Teknik Telekomunikasi,P
FI1101-2013,2013,Fisika Dasar IA,4,14,2013,1,102,Fisika,W
FI1101-2013,2013,Fisika Dasar IA,4,15,2013,1,102,Fisika,W
FI1101-2013,2013,Fisika Dasar IA,4,16,2013,1,102,Fisika,W
FI1101-2013,2013,Fisika Dasar IA,4,17,2013,1,102,Fisika,W
FI1101-2013,2013,Fisika Dasar IA,4,18,2013,1,102,Fisika,W
FI1101-2013,2013,Fisika Dasar IA,4,31,2013,1,102,Fisika,W
IF2110-2013,2013,Algoritma & Struktur Data,4,01,2013,1,135,Teknik Informatika,W
IF2110-2013,2013,Algoritma & Struktur Data,4,02,2013,1,135,Teknik Informatika,W
IF2111-2013,2013,Algoritma dan Struktur Data,3,01,2013,1,135,Teknik Informatika,W
IF2112-2013,2013,Pemrograman Fungsional,1,01,2013,1,135,Teknik Informatika,P
IF2112-2013,2013,Pemrograman Fungsional,1,02,2013,1,135,Teknik Informatika,P
IF2120-2013,2013,Matematika Diskrit,3,01,2013,1,135,Teknik Informatika,W
IF2120-2013,2013,Matematika Diskrit,3,02,2013,1,135,Teknik Informatika,W
IF2121-2013,2013,Logika Informatika,3,01,2013,1,135,Teknik Informatika,W
IF2121-2013,2013,Logika Informatika,3,02,2013,1,135,Teknik Informatika,W
IF2122-2013,2013,Probabilitas & Statistika,3,01,2013,1,135,Teknik Informatika,W
IF2122-2013,2013,Probabilitas & Statistika,3,02,2013,1,135,Teknik Informatika,W
IF2123-2013,2013,Aljabar Geometri,3,01,2013,1,135,Teknik Informatika,W
IF2123-2013,2013,Aljabar Geometri,3,02,2013,1,135,Teknik Informatika,W
IF2130-2013,2013,Organisasi & Arsitektur Komputer,3,01,2013,1,135,Teknik Informatika,W
IF2130-2013,2013,Organisasi & Arsitektur Komputer,3,02,2013,1,135,Teknik Informatika,W
IF2140-2013,2013,Pemodelan Basis Data,3,01,2013,1,135,Teknik Informatika,W
IF2211-2013,2013,Strategi Algoritma,3,01,2013,1,135,Teknik Informatika,W
IF2211-2013,2013,Strategi Algoritma,3,02,2013,1,135,Teknik Informatika,W
IF2230-2013,2013,Sistem Operasi,3,01,2013,1,135,Teknik Informatika,W
IF2230-2013,2013,Sistem Operasi,3,02,2013,1,135,Teknik Informatika,W
IF3110-2013,2013,Pengembangan Aplikasi Berbasis Web,2,01,2013,1,135,Teknik Informatika,W
IF3110-2013,2013,Pengembangan Aplikasi Berbasis Web,2,02,2013,1,135,Teknik Informatika,W
IF3110-2013,2013,Pengembangan Aplikasi Berbasis Web,2,03,2013,1,135,Teknik Informatika,W
IF3111-2013,2013,Pengembangan Aplikasi pada Platform Khusus,2,01,2013,1,135,Teknik Informatika,W
IF3111-2013,2013,Pengembangan Aplikasi pada Platform Khusus,2,02,2013,1,135,Teknik Informatika,W
IF3111-2013,2013,Pengembangan Aplikasi pada Platform Khusus,2,03,2013,1,135,Teknik Informatika,W
IF3111-2013,2013,Pengembangan Aplikasi pada Platform Khusus,2,04,2013,1,135,Teknik Informatika,W
IF3130-2013,2013,Jaringan Komputer,3,01,2013,1,135,Teknik Informatika,W
IF3130-2013,2013,Jaringan Komputer,3,02,2013,1,135,Teknik Informatika,W
IF3140-2013,2013,Manajemen Basis Data,2,01,2013,1,135,Teknik Informatika,W
IF3140-2013,2013,Manajemen Basis Data,2,02,2013,1,135,Teknik Informatika,W
IF3140-2013,2013,Manajemen Basis Data,2,03,2013,1,135,Teknik Informatika,W
IF3150-2013,2013,Manajemen Proyek Perangkat Lunak,2,01,2013,1,135,Teknik Informatika,W
IF3150-2013,2013,Manajemen Proyek Perangkat Lunak,2,02,2013,1,135,Teknik Informatika,W
IF3150-2013,2013,Manajemen Proyek Perangkat Lunak,2,03,2013,1,135,Teknik Informatika,W
IF3150-2013,2013,Manajemen Proyek Perangkat Lunak,2,04,2013,1,135,Teknik Informatika,W
IF3151-2013,2013,Interaksi Manusia & Komputer,3,01,2013,1,135,Teknik Informatika,W
IF3151-2013,2013,Interaksi Manusia & Komputer,3,02,2013,1,135,Teknik Informatika,W
IF3152-2013,2013,Rekayasa Perangkat Lunak,3,01,2013,1,135,Teknik Informatika,W
IF3170-2013,2013,Inteligensi Buatan,4,01,2013,1,135,Teknik Informatika,W
IF3250-2013,2013,Proyek Perangkat Lunak,4,01,2013,1,135,Teknik Informatika,W
IF3260-2013,2013,Grafika Komputer,3,01,2013,1,135,Teknik Informatika,W
IF3260-2013,2013,Grafika Komputer,3,02,2013,1,135,Teknik Informatika,W
IF3280-2013,2013,Socio-informatika dan Profesionalisme,3,01,2013,1,135,Teknik Informatika,W
IF4031-2013,2013,Pengembangan Aplikasi Terdistribusi,3,01,2013,1,135,Teknik Informatika,P
IF4043-2013,2013,Sistem Informasi Lanjut,3,01,2013,1,135,Teknik Informatika,P
IF4060-2013,2013,Rekayasa Interaksi,3,01,2013,1,135,Teknik Informatika,P
IF4070-2013,2013,Representasi Pengetahuan dan Penalaran,3,01,2013,1,135,Teknik Informatika,P
IF4071-2013,2013,Pembelajaran Mesin,3,01,2013,1,135,Teknik Informatika,P
IF4072-2013,2013,Pemrosesan Text dan Suara Bahasa Alami,3,01,2013,1,135,Teknik Informatika,P
IF4090-2013,2013,Kerja Praktek,2,01,2013,1,135,Teknik Informatika,W
IF4091-2013,2013,Tugas Akhir I & Seminar,2,01,2013,1,135,Teknik Informatika,W
IF4092-2013,2013,Tugas Akhir II,4,01,2013,1,135,Teknik Informatika,W
IF4150-2013,2013,Rekayasa Perangkat Lunak Spesifik Domain,2,01,2013,1,135,Teknik Informatika,W
IF4150-2013,2013,Rekayasa Perangkat Lunak Spesifik Domain,2,02,2013,1,135,Teknik Informatika,W
IF5011-2013,2013,Sistem & Arsitektur Komputer B,2,02,2013,1,235,Informatika,P
IF5011-2013,2013,Sistem & Arsitektur Komputer B,2,03,2013,1,235,Informatika,P
IF5020-2013,2013,Algoritma & Pemrograman A,2,01,2013,1,235,Informatika,P
IF5030-2013,2013,Manajemen Informasi A,2,01,2013,1,235,Informatika,P
IF5031-2013,2013,Manajemen Informasi B,2,03,2013,1,235,Informatika,P
IF5110-2013,2013,Teori Komputasi,3,01,2013,1,235,Informatika,P
IF5131-2013,2013,Pemodelan Enterprise,2,01,2013,1,235,Informatika,P
IF5142-2013,2013,Nilai & Resiko Teknologi Informasi,2,01,2013,1,235,Informatika,P
IF5151-2013,2013,"Desain Interaksi,Visualisasi, dan Game",3,01,2013,1,235,Informatika,P
IF5172-2013,2013,Datawarehouse & Data Mining,2,01,2013,1,235,Informatika,P
IF5192-2013,2013,Secure Programming,2,01,2013,1,235,Informatika,P
II2110-2013,2013,Matematika STI,3,01,2013,1,182,Sistem dan Teknologi Informasi,W
II2111-2013,2013,Probabilitas dan Statistik,3,01,2013,1,182,Sistem dan Teknologi Informasi,W
II2221-2013,2013,Manajemen Proyek STI,3,01,2013,1,182,Sistem dan Teknologi Informasi,W
II2230-2013,2013,Jaringan Komputer,3,01,2013,1,182,Sistem dan Teknologi Informasi,W
II3120-2013,2013,Layanan Sistem dan Teknologi Informasi,3,01,2013,1,182,Sistem dan Teknologi Informasi,W
II3121-2013,2013,Analisis Kebutuhan Enterprise,3,01,2013,1,182,Sistem dan Teknologi Informasi,W
II3130-2013,2013,Sistem Operasi,3,01,2013,1,182,Sistem dan Teknologi Informasi,W
II3150-2013,2013,Sistem Multimedia,3,01,2013,1,182,Sistem dan Teknologi Informasi,W
II3160-2013,2013,Pemrograman Integratif,3,01,2013,1,182,Sistem dan Teknologi Informasi,W
II4021-2013,2013,Sistem Pendukung Pengambilan Keputusan,2,01,2013,1,182,Sistem dan Teknologi Informasi,P
II4022-2013,2013,Audit Teknologi Informasi,2,01,2013,1,182,Sistem dan Teknologi Informasi,P
II4033-2013,2013,Forensik Digital,2,01,2013,1,182,Sistem dan Teknologi Informasi,P
II4071-2013,2013,Keprofesian STI,2,01,2013,1,182,Sistem dan Teknologi Informasi,P
II4090-2013,2013,Kerja Praktek,2,01,2013,1,182,Sistem dan Teknologi Informasi,W
II4091-2013,2013,Tugas Akhir 1 & Seminar,2,01,2013,1,182,Sistem dan Teknologi Informasi,W
II4092-2013,2013,Tugas Akhir 2,4,01,2013,1,182,Sistem dan Teknologi Informasi,W
II4470-2013,2013,Hukum & Etika Teknologi Informasi,2,01,2013,1,182,Sistem dan Teknologi Informasi,W
II4471-2013,2013,Kapita Selekta STI,2,01,2013,1,182,Sistem dan Teknologi Informasi,W
KI1102-2013,2013,Kimia Dasar IB,2,01,2013,1,105,Kimia,W
KI1102-2013,2013,Kimia Dasar IB,2,02,2013,1,105,Kimia,W
KI1102-2013,2013,Kimia Dasar IB,2,03,2013,1,105,Kimia,W
KI1102-2013,2013,Kimia Dasar IB,2,04,2013,1,105,Kimia,W
KI1102-2013,2013,Kimia Dasar IB,2,05,2013,1,105,Kimia,W
KU1001-2013,2013,Olah Raga,2,01,2013,1,116,Farmasi Klinik dan Komunitas,W
KU1001-2013,2013,Olah Raga,2,02,2013,1,116,Farmasi Klinik dan Komunitas,W
KU1001-2013,2013,Olah Raga,2,03,2013,1,116,Farmasi Klinik dan Komunitas,W
KU1001-2013,2013,Olah Raga,2,04,2013,1,116,Farmasi Klinik dan Komunitas,W
KU1001-2013,2013,Olah Raga,2,05,2013,1,116,Farmasi Klinik dan Komunitas,W
KU1021-2013,2013,Bahasa Inggris: Pemahaman Teks Akademik,2,01,2013,1,179,Mata Kuliah Umum (MKU),P
KU1021-2013,2013,Bahasa Inggris: Pemahaman Teks Akademik,2,02,2013,1,179,Mata Kuliah Umum (MKU),P
KU1021-2013,2013,Bahasa Inggris: Pemahaman Teks Akademik,2,03,2013,1,179,Mata Kuliah Umum (MKU),P
KU1021-2013,2013,Bahasa Inggris: Pemahaman Teks Akademik,2,04,2013,1,179,Mata Kuliah Umum (MKU),P
KU1022-2013,2013,Bahasa Inggris: Penulisan Teks Akademik,2,01,2013,1,179,Mata Kuliah Umum (MKU),P
KU1022-2013,2013,Bahasa Inggris: Penulisan Teks Akademik,2,02,2013,1,179,Mata Kuliah Umum (MKU),P
KU1023-2013,2013,Bahasa Inggris: Teknik Presentasi,2,01,2013,1,179,Mata Kuliah Umum (MKU),P
KU1023-2013,2013,Bahasa Inggris: Teknik Presentasi,2,02,2013,1,179,Mata Kuliah Umum (MKU),P
KU1023-2013,2013,Bahasa Inggris: Teknik Presentasi,2,03,2013,1,179,Mata Kuliah Umum (MKU),P
KU1023-2013,2013,Bahasa Inggris: Teknik Presentasi,2,04,2013,1,179,Mata Kuliah Umum (MKU),P
KU1072-2013,2013,Pengenalan Teknologi Informasi B,2,04,2013,1,165,Tahap Tahun Pertama STEI,W
KU1072-2013,2013,Pengenalan Teknologi Informasi B,2,05,2013,1,165,Tahap Tahun Pertama STEI,W
KU1072-2013,2013,Pengenalan Teknologi Informasi B,2,06,2013,1,165,Tahap Tahun Pertama STEI,W
KU1072-2013,2013,Pengenalan Teknologi Informasi B,2,07,2013,1,165,Tahap Tahun Pertama STEI,W
KU1072-2013,2013,Pengenalan Teknologi Informasi B,2,08,2013,1,165,Tahap Tahun Pertama STEI,W
KU1072-2013,2013,Pengenalan Teknologi Informasi B,2,09,2013,1,165,Tahap Tahun Pertama STEI,W
KU1101-2013,2013,Pengantar Rekayasa & Desain I,2,22,2013,1,169,Tahap Tahun Pertama FTMD,W
KU1101-2013,2013,Pengantar Rekayasa & Desain I,2,23,2013,1,169,Tahap Tahun Pertama FTMD,W
KU1101-2013,2013,Pengantar Rekayasa & Desain I,2,24,2013,1,169,Tahap Tahun Pertama FTMD,W
KU1101-2013,2013,Pengantar Rekayasa & Desain I,2,25,2013,1,169,Tahap Tahun Pertama FTMD,W
KU1101-2013,2013,Pengantar Rekayasa & Desain I,2,26,2013,1,169,Tahap Tahun Pertama FTMD,W
KU1101-2013,2013,Pengantar Rekayasa & Desain I,2,27,2013,1,169,Tahap Tahun Pertama FTMD,W
KU2061-2013,2013,Agama dan Etika Islam,2,01,2013,1,179,Mata Kuliah Umum (MKU),P
KU2061-2013,2013,Agama dan Etika Islam,2,02,2013,1,179,Mata Kuliah Umum (MKU),P
KU2061-2013,2013,Agama dan Etika Islam,2,03,2013,1,179,Mata Kuliah Umum (MKU),P
KU2061-2013,2013,Agama dan Etika Islam,2,04,2013,1,179,Mata Kuliah Umum (MKU),P
KU2061-2013,2013,Agama dan Etika Islam,2,05,2013,1,179,Mata Kuliah Umum (MKU),P
KU2061-2013,2013,Agama dan Etika Islam,2,06,2013,1,179,Mata Kuliah Umum (MKU),P
KU2061-2013,2013,Agama dan Etika Islam,2,07,2013,1,179,Mata Kuliah Umum (MKU),P
KU2061-2013,2013,Agama dan Etika Islam,2,08,2013,1,179,Mata Kuliah Umum (MKU),P
KU2061-2013,2013,Agama dan Etika Islam,2,09,2013,1,179,Mata Kuliah Umum (MKU),P
KU2061-2013,2013,Agama dan Etika Islam,2,10,2013,1,179,Mata Kuliah Umum (MKU),P
KU2061-2013,2013,Agama dan Etika Islam,2,12,2013,1,179,Mata Kuliah Umum (MKU),P
KU2061-2013,2013,Agama dan Etika Islam,2,14,2013,1,179,Mata Kuliah Umum (MKU),P
KU2061-2013,2013,Agama dan Etika Islam,2,16,2013,1,179,Mata Kuliah Umum (MKU),P
KU2061-2013,2013,Agama dan Etika Islam,2,17,2013,1,179,Mata Kuliah Umum (MKU),P
KU2061-2013,2013,Agama dan Etika Islam,2,19,2013,1,179,Mata Kuliah Umum (MKU),P
KU2061-2013,2013,Agama dan Etika Islam,2,20,2013,1,179,Mata Kuliah Umum (MKU),P
KU2062-2013,2013,Agama dan Etika Protestan,2,01,2013,1,179,Mata Kuliah Umum (MKU),P
KU2062-2013,2013,Agama dan Etika Protestan,2,02,2013,1,179,Mata Kuliah Umum (MKU),P
KU2062-2013,2013,Agama dan Etika Protestan,2,03,2013,1,179,Mata Kuliah Umum (MKU),P
KU2063-2013,2013,Agama dan Etika Katolik,2,01,2013,1,179,Mata Kuliah Umum (MKU),P
KU2063-2013,2013,Agama dan Etika Katolik,2,02,2013,1,179,Mata Kuliah Umum (MKU),P
KU2065-2013,2013,Agama dan Etika Budha,2,02,2013,1,179,Mata Kuliah Umum (MKU),P
KU2071-2013,2013,Pancasila dan Kewarganegaraan,2,01,2013,1,179,Mata Kuliah Umum (MKU),W
KU2071-2013,2013,Pancasila dan Kewarganegaraan,2,03,2013,1,179,Mata Kuliah Umum (MKU),W
KU2071-2013,2013,Pancasila dan Kewarganegaraan,2,04,2013,1,179,Mata Kuliah Umum (MKU),W
KU2071-2013,2013,Pancasila dan Kewarganegaraan,2,09,2013,1,179,Mata Kuliah Umum (MKU),W
KU2071-2013,2013,Pancasila dan Kewarganegaraan,2,11,2013,1,179,Mata Kuliah Umum (MKU),W
KU2071-2013,2013,Pancasila dan Kewarganegaraan,2,13,2013,1,179,Mata Kuliah Umum (MKU),W
KU2071-2013,2013,Pancasila dan Kewarganegaraan,2,14,2013,1,179,Mata Kuliah Umum (MKU),W
KU2071-2013,2013,Pancasila dan Kewarganegaraan,2,15,2013,1,179,Mata Kuliah Umum (MKU),W
KU2071-2013,2013,Pancasila dan Kewarganegaraan,2,16,2013,1,179,Mata Kuliah Umum (MKU),W
KU2071-2013,2013,Pancasila dan Kewarganegaraan,2,17,2013,1,179,Mata Kuliah Umum (MKU),W
KU2071-2013,2013,Pancasila dan Kewarganegaraan,2,21,2013,1,179,Mata Kuliah Umum (MKU),W
KU4012-2013,2013,Komposisi,3,01,2013,1,179,Mata Kuliah Umum (MKU),P
KU4012-2013,2013,Komposisi,3,05,2013,1,179,Mata Kuliah Umum (MKU),P
KU4075-2013,2013,Hukum Lingkungan,2,01,2013,1,179,Mata Kuliah Umum (MKU),P
KU4078-2013,2013,Studium Generale,2,01,2013,1,179,Mata Kuliah Umum (MKU),P
KU4079-2013,2013,Pendidikan Anti Korupsi,2,01,2013,1,179,Mata Kuliah Umum (MKU),P
KU4080-2013,2013,Kuliah Kerja Nyata Tematik,2,01,2013,1,179,Mata Kuliah Umum (MKU),P
KU4095-2013,2013,Kewirausahaan,2,01,2013,1,179,Mata Kuliah Umum (MKU),P
KU4095-2013,2013,Kewirausahaan,2,03,2013,1,179,Mata Kuliah Umum (MKU),P
KU4172-2013,2013,Hukum Perburuhan,2,02,2013,1,179,Mata Kuliah Umum (MKU),P
KU4184-2013,2013,Antropologi,2,01,2013,1,179,Mata Kuliah Umum (MKU),P
KU4190-2013,2013,Manajemen SDM,2,01,2013,1,179,Mata Kuliah Umum (MKU),P
KU4190-2013,2013,Manajemen SDM,2,02,2013,1,179,Mata Kuliah Umum (MKU),P
KU4193-2013,2013,Metode Berpikir Kreatif,2,03,2013,1,179,Mata Kuliah Umum (MKU),P
MA1101-2013,2013,Matematika IA,4,14,2013,1,101,Matematika,W
MA1101-2013,2013,Matematika IA,4,15,2013,1,101,Matematika,W
MA1101-2013,2013,Matematika IA,4,16,2013,1,101,Matematika,W
MA1101-2013,2013,Matematika IA,4,17,2013,1,101,Matematika,W
MA1101-2013,2013,Matematika IA,4,18,2013,1,101,Matematika,W
MA1101-2013,2013,Matematika IA,4,19,2013,1,101,Matematika,W
MA1101-2013,2013,Matematika IA,4,20,2013,1,101,Matematika,W
MA1101-2013,2013,Matematika IA,4,21,2013,1,101,Matematika,W
MA1101-2013,2013,Matematika IA,4,46,2013,1,101,Matematika,W
MA2121-2013,2013,Aljabar Linier Elementer,4,01,2013,1,101,Matematika,P
MA2151-2013,2013,Simulasi dan Komputasi Matematika,4,01,2013,1,101,Matematika,P
MA2181-2013,2013,Analisis Data,4,01,2013,1,101,Matematika,P
TI3005-2013,2013,Organisasi & Manajemen Perusahaan Industri,2,01,2013,1,134,Teknik Industri,W
TL2105-2013,2013,Kesehatan Lingkungan,3,02,2013,1,153,Teknik Lingkungan,P
TL4002-2013,2013,Rekayasa Lingkungan,3,01,2013,1,153,Teknik Lingkungan,P
TL4002-2013,2013,Rekayasa Lingkungan,3,04,2013,1,153,Teknik Lingkungan,P
TL4103-2013,2013,Kesehatan Lingkungan Kerja,2,04,2013,1,153,Teknik Lingkungan,P
BI2001-2013,2013,Pengetahuan Lingkungan,2,01,2013,2,106,Biologi,W
DK3014-2013,2013,Psikologi Persepsi,3,01,2013,2,174,Desain Komunikasi Visual,P
DK3014-2013,2013,Psikologi Persepsi,3,02,2013,2,174,Desain Komunikasi Visual,P
DK3016-2013,2013,Psikologi Sosial,2,02,2013,2,174,Desain Komunikasi Visual,P
DK4204-2013,2013,Sosiologi Komunikasi,3,01,2013,2,174,Desain Komunikasi Visual,P
DK4206-2013,2013,Game Desain,3,02,2013,2,174,Desain Komunikasi Visual,P
EL1200-2013,2013,Pengantar Analisis Rangkaian,2,01,2013,2,132,Teknik Elektro,W
EL1200-2013,2013,Pengantar Analisis Rangkaian,2,02,2013,2,132,Teknik Elektro,W
EL1200-2013,2013,Pengantar Analisis Rangkaian,2,03,2013,2,132,Teknik Elektro,W
EL1200-2013,2013,Pengantar Analisis Rangkaian,2,04,2013,2,132,Teknik Elektro,W
EL1200-2013,2013,Pengantar Analisis Rangkaian,2,05,2013,2,132,Teknik Elektro,W
EL1200-2013,2013,Pengantar Analisis Rangkaian,2,06,2013,2,132,Teknik Elektro,W
EL1200-2013,2013,Pengantar Analisis Rangkaian,2,07,2013,2,132,Teknik Elektro,W
EL2244-2013,2013,Sistem & Arsitektur Komputer,3,01,2013,2,132,Teknik Elektro,W
EL4233-2013,2013,Dasar Sistem & Kendali Cerdas,3,02,2013,2,132,Teknik Elektro,W
EL5007-2013,2013,Manajemen Keamanan Informasi,3,01,2013,2,232,Teknik Elektro,P
EL5112-2013,2013,Keamanan Komputer dan Jaringan,3,01,2013,2,232,Teknik Elektro,P
FI1101-2013,2013,Fisika Dasar IA,4,01,2013,2,102,Fisika,W
FI1201-2013,2013,Fisika Dasar IIA,4,16,2013,2,102,Fisika,W
FI1201-2013,2013,Fisika Dasar IIA,4,17,2013,2,102,Fisika,W
FI1201-2013,2013,Fisika Dasar IIA,4,18,2013,2,102,Fisika,W
FI1201-2013,2013,Fisika Dasar IIA,4,19,2013,2,102,Fisika,W
FI1201-2013,2013,Fisika Dasar IIA,4,20,2013,2,102,Fisika,W
FI1201-2013,2013,Fisika Dasar IIA,4,31,2013,2,102,Fisika,W
IF1210-2013,2013,Dasar Pemrograman,2,01,2013,2,135,Teknik Informatika,W
IF1210-2013,2013,Dasar Pemrograman,2,02,2013,2,135,Teknik Informatika,W
IF1210-2013,2013,Dasar Pemrograman,2,03,2013,2,135,Teknik Informatika,W
IF1210-2013,2013,Dasar Pemrograman,2,04,2013,2,135,Teknik Informatika,W
IF1210-2013,2013,Dasar Pemrograman,2,05,2013,2,135,Teknik Informatika,W
IF1210-2013,2013,Dasar Pemrograman,2,06,2013,2,135,Teknik Informatika,W
IF1210-2013,2013,Dasar Pemrograman,2,07,2013,2,135,Teknik Informatika,W
IF2210-2013,2013,Pemrograman Berorientasi Objek,3,01,2013,2,135,Teknik Informatika,W
IF2210-2013,2013,Pemrograman Berorientasi Objek,3,02,2013,2,135,Teknik Informatika,W
IF2210-2013,2013,Pemrograman Berorientasi Objek,3,03,2013,2,135,Teknik Informatika,W
IF2211-2013,2013,Strategi Algoritma,3,01,2013,2,135,Teknik Informatika,W
IF2211-2013,2013,Strategi Algoritma,3,02,2013,2,135,Teknik Informatika,W
IF2220-2013,2013,Teori Bahasa Formal dan Otomata,3,01,2013,2,135,Teknik Informatika,W
IF2220-2013,2013,Teori Bahasa Formal dan Otomata,3,02,2013,2,135,Teknik Informatika,W
IF2230-2013,2013,Sistem Operasi,3,01,2013,2,135,Teknik Informatika,W
IF2230-2013,2013,Sistem Operasi,3,02,2013,2,135,Teknik Informatika,W
IF2240-2013,2013,Basis Data,3,01,2013,2,135,Teknik Informatika,W
IF2240-2013,2013,Basis Data,3,02,2013,2,135,Teknik Informatika,W
IF2250-2013,2013,Dasar Rekayasa Perangkat Lunak,2,01,2013,2,135,Teknik Informatika,W
IF2250-2013,2013,Dasar Rekayasa Perangkat Lunak,2,02,2013,2,135,Teknik Informatika,W
IF3170-2013,2013,Inteligensi Buatan,4,01,2013,2,135,Teknik Informatika,W
IF3170-2013,2013,Inteligensi Buatan,4,02,2013,2,135,Teknik Informatika,W
IF3230-2013,2013,Sistem Paralel dan Terdistribusi,3,01,2013,2,135,Teknik Informatika,W
IF3230-2013,2013,Sistem Paralel dan Terdistribusi,3,02,2013,2,135,Teknik Informatika,W
IF3240-2013,2013,Sistem Informasi,3,01,2013,2,135,Teknik Informatika,W
IF3240-2013,2013,Sistem Informasi,3,02,2013,2,135,Teknik Informatika,W
IF3250-2013,2013,Proyek Perangkat Lunak,4,01,2013,2,135,Teknik Informatika,W
IF3250-2013,2013,Proyek Perangkat Lunak,4,02,2013,2,135,Teknik Informatika,W
IF3260-2013,2013,Grafika Komputer,3,01,2013,2,135,Teknik Informatika,W
IF3260-2013,2013,Grafika Komputer,3,02,2013,2,135,Teknik Informatika,W
IF3280-2013,2013,Socio-informatika dan Profesionalisme,3,01,2013,2,135,Teknik Informatika,W
IF3280-2013,2013,Socio-informatika dan Profesionalisme,3,02,2013,2,135,Teknik Informatika,W
IF3280-2013,2013,Socio-informatika dan Profesionalisme,3,03,2013,2,135,Teknik Informatika,W
IF4020-2013,2013,Kriptografi,3,01,2013,2,135,Teknik Informatika,P
IF4021-2013,2013,Pemodelan dan Simulasi,3,01,2013,2,135,Teknik Informatika,P
IF4033-2013,2013,Keamanan dan Penjaminan Informasi,3,01,2013,2,135,Teknik Informatika,P
IF4040-2013,2013,Pemodelan Data Lanjut,3,01,2013,2,135,Teknik Informatika,P
IF4041-2013,2013,Teknologi Basis Data,3,01,2013,2,135,Teknik Informatika,P
IF4042-2013,2013,Sistem Temu Balik Informasi,3,01,2013,2,135,Teknik Informatika,P
IF4061-2013,2013,Visualisasi Data dan Informasi,3,01,2013,2,135,Teknik Informatika,P
IF4073-2013,2013,Interpretasi dan Pengolahan Citra,3,01,2013,2,135,Teknik Informatika,P
IF4091-2013,2013,Tugas Akhir I & Seminar,2,01,2013,2,135,Teknik Informatika,W
IF4092-2013,2013,Tugas Akhir II,4,01,2013,2,135,Teknik Informatika,W
IF5111-2013,2013,Analisa Algoritma,3,01,2013,2,235,Informatika,P
IF5133-2013,2013,Manajemen Proyek Sistem Informasi,2,01,2013,2,235,Informatika,P
IF5134-2013,2013,Sumber Daya Informasi Enterprise,2,01,2013,2,235,Informatika,P
IF5135-2013,2013,Tatakelola Enterprise,2,01,2013,2,235,Informatika,P
IF5147-2013,2013,Sistem Layanan Cerdas,2,01,2013,2,235,Informatika,P
IF5152-2013,2013,Pengembangan Aplikasi Piranti Bergerak,3,01,2013,2,235,Informatika,P
IF5153-2013,2013,Pemrosesan dan Manajemen Data Multimedia,3,01,2013,2,235,Informatika,P
IF5154-2013,2013,Pengembangan Aplikasi Media Interaktif dan Praktek,3,01,2013,2,235,Informatika,P
IF5162-2013,2013,Metode Numerik Lanjut,2,01,2013,2,235,Informatika,P
IF5170-2013,2013,Visualisasi Data,2,01,2013,2,235,Informatika,P
IF5173-2013,2013,Teori Manajemen & Organisasi,2,01,2013,2,235,Informatika,P
IF5174-2013,2013,Pengembangan Intelijen Bisnis & Operasi,2,01,2013,2,235,Informatika,P
IF5175-2013,2013,Analisis Data & Bisnis,2,01,2013,2,235,Informatika,P
IF5193-2013,2013,Metode Formal,2,01,2013,2,235,Informatika,P
IF5194-2013,2013,Tata Kelola IT & Manajemen Resiko,2,01,2013,2,235,Informatika,P
IF5282-2013,2013,Pemrosesan Bahasa Alami,2,01,2013,2,235,Informatika,P
II2220-2013,2013,Manajemen Sumber Daya STI,3,01,2013,2,182,Sistem dan Teknologi Informasi,W
II2221-2013,2013,Manajemen Proyek STI,3,01,2013,2,182,Sistem dan Teknologi Informasi,W
II2230-2013,2013,Jaringan Komputer,3,01,2013,2,182,Sistem dan Teknologi Informasi,W
II2240-2013,2013,Analisis Kebutuhan Sistem,3,01,2013,2,182,Sistem dan Teknologi Informasi,W
II3220-2013,2013,Arsitektur Enterprise,3,01,2013,2,182,Sistem dan Teknologi Informasi,W
II3230-2013,2013,Keamanan Informasi,3,01,2013,2,182,Sistem dan Teknologi Informasi,W
II3231-2013,2013,Interaksi Manusia dg Komputer & Antarmuka,3,01,2013,2,182,Sistem dan Teknologi Informasi,W
II3240-2013,2013,Rekayasa Sistem dan Teknologi Informasi,3,01,2013,2,182,Sistem dan Teknologi Informasi,W
II3260-2013,2013,Platform dan Pengembangan Aplikasi Mobile,3,01,2013,2,182,Sistem dan Teknologi Informasi,W
II4034-2013,2013,Pemrosesan Bahasa Alami dan Ucapan,2,01,2013,2,182,Sistem dan Teknologi Informasi,P
II4051-2013,2013,Rekayasa Sistem Multimedia,2,01,2013,2,182,Sistem dan Teknologi Informasi,P
